,mus_prime_mm-1
553.0,42.62579054142674
554.0,42.46272074135383
555.0,42.309387100786296
556.0,42.15605346021875
557.0,42.00271981965122
558.0,41.84938617908369
559.0,41.696052538516156
560.0,41.54271889794862
561.0,41.389385257381086
562.0,41.236051616813555
563.0,41.082717976246016
564.0,40.92938433567848
565.0,40.776050695110946
566.0,40.62271705454341
567.0,40.45960195596164
568.0,40.289444207609606
569.0,40.11928645925758
570.0,39.94912871090555
571.0,39.77897096255352
572.0,39.6088132142015
573.0,39.43865546584947
574.0,39.26849771749744
575.0,39.09833996914541
576.0,38.92818222079338
577.0,38.758024472441356
578.0,38.59815109987581
579.0,38.45256158256925
580.0,38.306972065262705
581.0,38.16138254795616
582.0,38.01579303064961
583.0,37.87020351334306
584.0,37.72461399603651
585.0,37.57902447872996
586.0,37.433434961423416
587.0,37.28784544411687
588.0,37.142255926810314
589.0,36.99666640950377
590.0,36.85107689219722
591.0,36.705487374890666
592.0,36.55989785758412
593.0,36.414308340277564
594.0,36.26871882297102
595.0,36.12312930566446
596.0,35.97753978835791
597.0,35.83195027105136
598.0,35.686360753744815
599.0,35.54077123643827
600.0,35.39518171913171
601.0,35.249592201825166
602.0,35.10400268451861
603.0,34.95841316721206
604.0,34.81282364990551
605.0,34.667234132598956
606.0,34.54226263787522
607.0,34.42274885501163
608.0,34.30323507214805
609.0,34.18372128928446
610.0,34.06420750642088
611.0,33.94469372355729
612.0,33.82517994069371
613.0,33.70566615783012
614.0,33.58615237496654
615.0,33.46663859210295
616.0,33.34712480923937
617.0,33.22761102637578
618.0,33.1080972435122
619.0,32.98858346064861
620.0,32.86906967778503
621.0,32.74955589492144
622.0,32.63004211205786
623.0,32.51052832919427
624.0,32.39126932377478
625.0,32.27449439843515
626.0,32.15771947309552
627.0,32.0409445477559
628.0,31.924169622416265
629.0,31.807394697076642
630.0,31.690619771737012
631.0,31.573844846397385
632.0,31.45706992105776
633.0,31.34029499571813
634.0,31.223520070378505
635.0,31.106745145038875
636.0,30.98997021969925
637.0,30.87319529435962
638.0,30.76378362622834
639.0,30.657562702887336
640.0,30.551341779546334
641.0,30.44512085620533
642.0,30.338899932864333
643.0,30.232679009523327
